sample_id,CXCL10,IL6,TNF,IL1B,IL8,CRP,SAA1,IFIT1,IFIT3,OAS1
patient_0000,0.34893099145721895,0.043279310552356426,0.04196367725487911,0.5073739430303769,0.417568044449873,0.12166204266977332,0.17358534863185357,0.0914690785576924,0.046722337127509506,0.055504806733465736
patient_0001,0.11538320454755809,0.053467336512633995,0.17613983914265324,0.17179414614684305,0.0,0.03132901140278364,0.05286596085741375,0.12325775236777961,0.24320384192909184,0.13186280608981782
patient_0002,0.0392667000518189,0.03877038652384157,0.04511394031192267,0.03763305141279749,0.04099745673530436,0.2731627010409293,0.13236414555202222,0.11257541539825613,0.3085022940053982,0.05468464855607366
patient_0003,0.20997743311746495,0.13370193192254887,0.026807909656557705,0.029388430719427358,0.01829401321749246,0.28627703673009874,0.07826867739679583,0.0588070663241975,0.16330806903578202,0.1095798602403125
patient_0004,0.1995236420513678,0.1145173902128478,0.34622140968917264,0.04729843205021428,0.030344392897785573,0.07567905675202279,0.2437596275572753,0.09711290247566717,0.4185863858361645,0.10830436661038462
patient_0005,0.05812292593885269,0.105192850473805,0.1357225009142504,0.013988988791153874,0.11859243611260528,0.3533353222311182,0.10221775368205605,0.028003854222054078,0.04917181299528858,0.06069694957580919
patient_0006,0.13291213908787794,0.06970755905031903,0.04734086306583443,0.1274459688006177,0.047558412850906416,0.042385473007260074,0.10075000454923128,0.003767358899966381,0.03488902562005029,0.021714049432125924
patient_0007,0.1060525137695398,0.11225978506787034,0.19531065505006182,0.02756491829622504,0.18579368723767292,0.20178682192597314,0.18046170385583207,0.03161982011881307,0.1609050014464955,0.05671019712923439
patient_0008,0.04547422693024428,0.1015403401512263,0.009134852510141196,0.08637706797303105,0.04068767203022466,0.18665993358222013,0.7157169144376937,0.02023387528100005,0.15848219414992296,0.01905860906048145
patient_0009,0.2988697467220378,0.1478039324415373,0.03450439481449223,0.08812745156475149,0.040342557147846264,0.5583852607515459,0.011726454857587928,0.07954078982479054,0.11276558861975747,0.021196557527658755
patient_0010,0.07761198498178636,0.05485936224720547,0.19031533959999722,0.03962605053903406,0.4727882339481732,0.1326772608039698,0.07242024216910195,0.19889265887382956,0.032598272328776504,0.02861439865410039
patient_0011,0.0848739022637382,0.019978025399978488,0.2447509652777376,0.017764417665779922,0.2741880482674783,0.0,0.2067510219577711,0.03730522582954376,0.5071651428470723,0.22003766300148747
patient_0012,0.07335769244068041,0.04440261106024988,0.045776291290554355,0.2980745260355309,0.1903789544017287,0.26932449265266434,0.2382240833424137,0.03319186752151894,0.10778959327591445,0.21391335252265267
patient_0013,0.032649706371155655,0.03401513425982158,0.3065105488878801,0.3837004756425334,0.42342313865479314,0.31228129717028275,0.2792566350718783,0.03224983742352468,0.10209019321517793,0.06025089003694882
patient_0014,0.11440907166264076,0.02012873744689993,0.03520874807299319,0.05022926436304317,0.046949466633680416,0.10268811297713597,0.04500807861587965,0.06657468309989717,0.28150290036153747,0.20462965930832178
patient_0015,0.0363444926905584,0.05643938622318023,0.0781774939520254,0.22798707448334712,0.05236860596248514,0.22533949099202427,0.17841255118572888,0.016527179590270884,0.043205068457910986,0.04532512327161879
patient_0016,0.17707096830731936,0.018459649968819308,0.06286179236519068,0.04093127542481261,0.11339419517030366,0.22029925278988446,0.24010287418513945,0.014002866907767118,0.09009469839694982,0.04925360472647737
patient_0017,0.04569351652566178,0.020700098458968603,0.2816039225914123,0.10890880172731274,0.13922812825057718,0.3711828987457627,0.8748183232889549,0.06597634915845199,0.05368073605176292,0.04267708614777437
patient_0018,0.09249602459948628,0.022439935395190378,0.5518327909103113,0.06949624708896897,0.14007785910470125,0.22027767829712583,0.02964903523389284,0.0758915609413526,0.044710063455449645,0.21170694478456473
patient_0019,0.29981243567382304,0.04127584881887339,0.018573817929255883,0.054106701215854584,0.05039415859259377,0.21524151109318237,0.0159096429554988,0.10162319308944714,0.06594389756706769,0.06196206327534516
patient_0020,0.17713614328831995,0.2365925508912066,0.1167743326710967,0.11970065509240493,0.1737604445945424,0.09659688186703486,0.00035425121771284415,0.09279720270548242,0.08890115554677223,0.1525053509434534
